var_id,var_name,code,label
V6,state_per_fv,01,
V6,state_per_fv,02,
V6,state_per_fv,03,
V6,state_per_fv,04,
V6,state_per_fv,05,
V6,state_per_fv,06,
V6,state_per_fv,07,
V6,state_per_fv,08,
V6,state_per_fv,09,
V6,state_per_fv,10,
V6,state_per_fv,11,
V6,state_per_fv,12,
V6,state_per_fv,13,
V6,state_per_fv,14,
V6,state_per_fv,15,
V6,state_per_fv,16,
V6,state_per_fv,17,
V6,state_per_fv,18,
V6,state_per_fv,19,
V6,state_per_fv,20,
V6,state_per_fv,21,
V6,state_per_fv,22,
V6,state_per_fv,23,
V6,state_per_fv,24,
V6,state_per_fv,25,
V6,state_per_fv,26,
V6,state_per_fv,27,
V6,state_per_fv,28,
V6,state_per_fv,29,
V6,state_per_fv,30,
V6,state_per_fv,31,
V6,state_per_fv,32,
V6,state_per_fv,33,
V6,state_per_fv,34,
V6,state_per_fv,35,
V6,state_per_fv,36,
V135,state_per_rv,01,
V135,state_per_rv,02,
V135,state_per_rv,03,
V135,state_per_rv,04,
V135,state_per_rv,05,
V135,state_per_rv,06,
V135,state_per_rv,07,
V135,state_per_rv,08,
V135,state_per_rv,09,
V135,state_per_rv,10,
V135,state_per_rv,11,
V135,state_per_rv,12,
V135,state_per_rv,13,
V135,state_per_rv,14,
V135,state_per_rv,15,
