state_district,round,nonagri_share,total_emp_wtd,share_high,share_low,share_middle,year
09_61,2017-18,0.5626534939507829,404369763,0.008108179346030281,0.43734650604921715,0.5598129205323396,2017
09_61,2018-19,0.5127890112850527,183475794,NA,0.48721098871494734,0.5127890112850527,2018
09_61,2019-20,0.7145346943185633,189184419,0.009399949580414442,0.2854653056814367,0.7051347447381489,2019
09_61,2020-21,0.36969081540264687,569310281,0.0054619442222930805,0.6303091845973532,0.36422887118035374,2020
09_61,2021-22,0.3796489013909736,642334473,0.007368301405177735,0.6203510986090264,0.3722805999857959,2021
09_61,2022-23,0.7716291340055541,522117344,0.028470586489461647,0.22837086599444587,0.7431585475160924,2022
09_62,2017-18,0.2383677372201826,197201507,0.02092880358982603,0.7881085016166388,0.2181420297158277,2017
09_62,2018-19,0.5552006720623737,388602026,0.04962439902462063,0.44479932793762633,0.505576273037753,2018
09_62,2019-20,0.4833678929547924,597660385,0.03403350048037733,0.5166321070452076,0.44933439247441503,2019
09_62,2020-21,0.43913960092478127,563010554,0.013528240182865206,0.5608603990752188,0.425611360741916,2020
09_62,2021-22,0.44531097772241757,733599575,0.06042632181186855,0.5546890222775824,0.38488465591054905,2021
09_62,2022-23,0.4288654459607622,611834074,0.029947094773933758,0.5711345540392377,0.39891835118682845,2022
09_63,2017-18,0.19913133682496073,427318218,0.06471674071686002,0.8008686631750392,0.13947070237010115,2017
09_63,2018-19,0.35329184060334873,409589182,0.045746686737444156,0.6467081593966513,0.30754515386590453,2018
09_63,2019-20,0.3506929980864162,711017187,0.009342677113092064,0.6493070019135838,0.3413503209733241,2019
09_63,2020-21,0.3679740910665813,727452871,0.06413047478370595,0.6320259089334187,0.3038436162828753,2020
09_63,2021-22,0.4321110946671335,775684182,0.030918725115887436,0.5678889053328665,0.40119236955124604,2021
09_63,2022-23,0.31444489333921266,529436135,0.01040628441426651,0.85147615994861,0.30403860892494616,2022
09_64,2017-18,0.33411029122298014,280998498,0.10702976782459528,0.6658897087770199,0.22708052339838486,2017
09_64,2018-19,0.3704773784665337,791141592,0.07849794983348568,0.6295226215334662,0.29197942863304804,2018
09_64,2019-20,0.2840929985935632,825560743,0.0852476169642674,0.7159070014064368,0.1988453816292958,2019
09_64,2020-21,0.199462389682201,705328725,0.05938045129240979,0.800537610317799,0.14008193838979122,2020
09_64,2021-22,0.3394843338456966,776760733,0.0869417082132549,0.6605156661543033,0.2525426256324417,2021
09_64,2022-23,0.3226159151960187,653737798,0.02156141964427151,0.6773840848039813,0.3010544955517472,2022
09_65,2017-18,0.5452610973453628,228030143,0.1029252829964677,0.4547389026546372,0.4423358143488951,2017
09_65,2018-19,0.4714979321697753,394412699,0.0411114881470893,0.5285020678302247,0.430386444022686,2018
09_65,2019-20,0.21108736083283205,168314753,0.042263231030616855,0.7889126391671679,0.17126286606617305,2019
09_65,2020-21,0.3127915592837268,309503307,0.10220766397174555,0.7351260883868929,0.21058389531198127,2020
09_65,2021-22,0.549499873539877,435445567,0.14187052454250842,0.4505001264601231,0.40762934899736847,2021
09_65,2022-23,0.6590496637012971,201307348,0.13408131033547768,0.7852585699549776,0.5249683533658195,2022
09_66,2017-18,0.8204058065881367,743436920,0.15224318426370323,0.17959419341186336,0.6681626223244334,2017
09_66,2018-19,0.7345865492114595,1100422221,0.14497514222770316,0.26541345078854056,0.5896114069837562,2018
09_66,2019-20,0.7781608260669712,996437176,0.250342818401629,0.22183917393302877,0.5278180076653423,2019
09_66,2020-21,0.8504411374660541,1022188852,0.2707810660020777,0.1495588625339459,0.5796600714639764,2020
09_66,2021-22,0.8774245301640498,879039641,0.22729792341640256,0.1225754698359502,0.6501266067476472,2021
09_66,2022-23,0.8651722551632884,983119529,0.18950652235492313,0.13482774483671153,0.6756657328083654,2022
09_67,2017-18,0.6004183283718629,252624032,0.11053122214437619,0.3995816716281371,0.4898871062274867,2017
09_67,2018-19,0.5826394565592703,291876393,0.09099836313243737,0.4173605434407297,0.49164109342683293,2018
09_67,2019-20,0.50789923399003,96508535,0.1659261017691337,0.49210076600997,0.3419731322208963,2019
09_67,2020-21,0.47400586396159644,153083199,0.19002131644766582,0.5259941360384035,0.28398454751393065,2020
09_67,2021-22,0.29551465097523627,233082129,0.06282958431583739,0.7044853490247637,0.23468480073819817,2021
09_67,2022-23,0.2787388066408638,131325747,0.11016204613707622,0.7212611933591362,0.1685767605037876,2022
